tool,target,budget_s,run_id,time_s,execs_done,execs_per_sec,corpus_count,coverage_metric,peak_rss_mb,crashes_total,crashes_unique,time_to_first_crash_s
libfuzzer,json-c,60,1,60,,23214.0,800,2307.0,476,0,0,
libfuzzer,json-c,60,2,60,,25996.0,837,2386.0,490,0,0,
libfuzzer,json-c,60,3,60,,27553.0,825,2311.0,483,0,0,
afl++,json-c,60,1,60,207968.0,3465.44,352,26.18,,0,0,
afl++,json-c,60,2,60,208991.0,3482.31,339,26.62,,0,0,
afl++,json-c,60,3,60,205633.0,3426.65,336,26.43,,0,0,
honggfuzz,json-c,60,1,61,46820.0,767.0,1052,21.0,12,0,0,
honggfuzz,json-c,60,2,61,44807.0,734.0,237,21.0,12,0,0,
honggfuzz,json-c,60,3,61,47522.0,779.0,149,21.0,12,0,0,
libfuzzer,libpng,60,1,60,1132635,18567,212,1750,477,0,0,
libfuzzer,libpng,60,2,60,1049707,17208,200,1742,571,0,0,
libfuzzer,libpng,60,3,60,1123082,18411,168,1740,453,0,0,
afl++,libpng,60,1,60,128093,2134.49,37,6.48,0,0,0,
afl++,libpng,60,2,60,156343,2605.41,38,6.48,0,0,0,
afl++,libpng,60,3,60,141689,2361.13,45,6.48,0,0,0,
honggfuzz,libpng,60,1,61,43670,715,354,5,9,0,0,
honggfuzz,libpng,60,2,61,45892,752,86,5,9,0,0,
honggfuzz,libpng,60,3,61,43284,709,51,5,9,0,0,
lf,fuzzgoat,60,1,60.2,1540509,25603.8,388,2339,,336,336,0.9
afl,fuzzgoat,60,1,60.1,70832,1180.43,192,28.48,,18,18,0.05
hfuzz,fuzzgoat,60,1,60.3,42913,711.5,171,52.0,53,8,8,0.13
lf,fuzzgoat,60,2,60.1,1998075,33248.7,390,2179,,384,384,0.05
lf,fuzzgoat,60,3,60.1,2033914,33845.6,390,2251,,403,403,0.05
afl,fuzzgoat,60,2,60.0,80535,1342.23,202,30.22,,16,16,0.02
afl,fuzzgoat,60,3,60.0,82706,1378.27,208,32.28,,15,15,0.06
hfuzz,fuzzgoat,60,2,60.5,55893,923.3,153,53.0,53,8,8,0.07
hfuzz,fuzzgoat,60,3,60.9,50327,826.6,110,53.0,53,8,8,0.08
lf,fuzzgoat,300,1,300.1,9308820,31017.8,404,2435,,1550,1550,0.05
lf,fuzzgoat,300,2,300.1,9714545,32371.5,411,2389,,1552,1552,0.06
lf,fuzzgoat,300,3,300.1,10022653,33399.1,414,2395,,1660,1660,0.07
afl,fuzzgoat,300,1,300.1,411953,1373.09,341,37.97,,46,46,0.03
afl,fuzzgoat,300,2,300.1,409898,1366.31,333,38.13,,43,43,0.02
afl,fuzzgoat,300,3,300.1,405261,1350.78,340,38.29,,44,44,0.06
hfuzz,fuzzgoat,300,1,301.1,284572,945.2,357,57.0,53,9,9,0.08
hfuzz,fuzzgoat,300,2,300.7,283368,942.3,256,57.0,53,9,9,0.07
hfuzz,fuzzgoat,300,3,300.9,284043,944.0,191,57.0,53,10,10,0.07
lf,fuzzgoat,1800,1,1800.2,61716389,34282.8,431,2502,,8904,8904,0.06
lf,fuzzgoat,1800,2,1800.2,61180850,33986.1,443,2663,,8044,8044,0.06
lf,fuzzgoat,1800,3,1800.2,62212354,34558.5,439,2648,,8946,8946,0.05
afl,fuzzgoat,1800,1,1800.0,2441177,1356.20,473,38.45,,52,52,0.04
afl,fuzzgoat,1800,2,1800.1,2406639,1337.01,449,38.77,,53,53,0.02
afl,fuzzgoat,1800,3,1800.1,2406592,1336.99,485,38.61,,54,54,0.07
hfuzz,fuzzgoat,1800,1,1800.1,1631396,906.3,278,57.0,53,10,10,0.12
hfuzz,fuzzgoat,1800,2,1800.9,1605803,891.6,219,57.0,53,10,10,0.08
hfuzz,fuzzgoat,1800,3,1800.7,1590368,883.2,186,57.0,53,9,9,0.1
