tool,budget_s,run_id,crashes_total,unique_stacks,bugs_found_count,bug_1,bug_2,bug_3,bug_4
lf,60,1,336,3,4,1,1,1,1
lf,60,2,384,3,4,1,1,1,1
lf,60,3,403,3,4,1,1,1,1
afl,60,1,18,4,3,0,1,1,1
afl,60,2,16,3,4,1,1,1,1
afl,60,3,15,4,3,0,1,1,1
hfuzz,60,1,8,2,3,1,1,1,0
hfuzz,60,2,8,2,3,1,1,1,0
hfuzz,60,3,8,2,3,1,1,1,0
lf,300,1,1550,3,4,1,1,1,1
lf,300,2,1552,3,4,1,1,1,1
lf,300,3,1660,3,4,1,1,1,1
afl,300,1,46,4,4,1,1,1,1
afl,300,2,43,3,4,1,1,1,1
afl,300,3,44,4,4,1,1,1,1
hfuzz,300,1,9,2,3,1,1,1,0
hfuzz,300,2,9,2,3,1,1,1,0
hfuzz,300,3,10,2,3,1,1,1,0
lf,1800,1,8904,4,4,1,1,1,1
lf,1800,2,8044,4,4,1,1,1,1
lf,1800,3,8946,4,4,1,1,1,1
afl,1800,1,52,4,4,1,1,1,1
afl,1800,2,53,3,4,1,1,1,1
afl,1800,3,54,4,4,1,1,1,1
hfuzz,1800,1,10,2,3,1,1,1,0
hfuzz,1800,2,10,2,3,1,1,1,0
hfuzz,1800,3,9,2,3,1,1,1,0
